UF;CIDADE;CIDADE_SIEBEL;ENCERRAMENTO;QTE
PR;ARAUCARIA;ARAUCARIA;2022-02-01;2060
SC;LAURENTINO;LAURENTINO;2020-07-01;3
CE;FORTALEZA;FORTALEZA;2021-01-01;61705
GO;NOVO GAMA;NOVO GAMA;2020-08-01;328
MT;RONDONOPOLIS;RONDONOPOLIS;2019-06-01;703
MG;BELO HORIZONTE;BELO HORIZONTE;2019-03-01;3595
GO;RIO VERDE;RIO VERDE;2021-11-01;9361
CE;FORTALEZA;FORTALEZA;2022-01-01;79770
RJ;MANGARATIBA;MANGARATIBA;2021-03-01;67
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2019-01-01;13
ES;SERRA;CARAPINA;2021-05-01;26
GO;GOIANIA;GOIANIA;2019-11-01;8190
MG;VARGINHA;VARGINHA;2021-08-01;11277
AC;RIO BRANCO;RIO BRANCO;2020-11-01;25884
MG;CATAGUASES;CATAGUASES;2020-01-01;1525
SC;BRUSQUE;BRUSQUE;2021-11-01;9449
RJ;CABO FRIO;UNAMAR;2022-01-01;3828
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2021-06-01;1295
TO;PALMAS;PALMAS;2021-09-01;17660
MG;MONTES CLAROS;MONTES CLAROS;2019-11-01;9261
RJ;DUQUE DE CAXIAS;CAMPOS ELYSEOS;2021-12-01;1
DF;BRASILIA;BRASILIA;2019-03-01;1480
PB;CAMPINA GRANDE;CAMPINA GRANDE;2021-07-01;2061
MT;CUIABA;CUIABA;2020-10-01;4277
PA;ANANINDEUA;ANANINDEUA;2020-12-01;10399
RS;ALEGRETE;ALEGRETE;2021-12-01;1723
SC;TUBARAO;TUBARAO;2020-06-01;815
SP;SAO PAULO;SAO PAULO;2021-11-01;5213
RJ;PETROPOLIS;ITAIPAVA;2021-08-01;2355
RJ;CABO FRIO;TAMOIOS;2020-09-01;18
PB;JOAO PESSOA;JOAO PESSOA;2020-11-01;3664
MG;UBA;UBA;2020-04-01;6684
RJ;NOVA IGUACU;NOVA IGUACU;2020-08-01;14030
RJ;NOVA FRIBURGO;NOVA FRIBURGO;2021-11-01;1320
MG;JUIZ DE FORA;JUIZ DE FORA;2021-12-01;29319
RO;ROLIM DE MOURA;ROLIM DE MOURA;2021-10-01;61
MA;SANTA INES;SANTA INES;2021-02-01;3406
PR;SAO JOSE DOS PINHAIS;BORDA DO CAMPO DE SAO SEBASTIAO;2021-07-01;22
PR;PARANAGUA;PARANAGUA;2021-11-01;4639
RS;PELOTAS;PELOTAS;2021-04-01;12145
GO;GOIANIA;GOIANIA;2018-12-01;407
SE;ITABAIANA;ITABAIANA;2021-11-01;216
SC;LAURENTINO;LAURENTINO;2021-03-01;2
PI;PIRIPIRI;PIRIPIRI;2019-08-01;45
GO;RIO VERDE;RIO VERDE;2020-04-01;259
SC;JOINVILLE;JOINVILLE;2020-08-01;3430
MG;DIVINOPOLIS;DIVINOPOLIS;2021-09-01;24259
DF;BRASILIA;TAGUATINGA;2019-10-01;62
PR;PINHAIS;PINHAIS;2021-04-01;17762
RJ;PETROPOLIS;PETROPOLIS;2020-12-01;30340
